Order Date,Order ID,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Purchase Order Number,PO Line Number,Shipment Date,Order Status,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
2/3/2020,114-3230389-9828201,for Oral B Electric Toothbrush Replacement Charger Power Cord Supply Inductive Charging Base Model 3757 Portable Environmental ABS for Travel,CHARGING_ADAPTER,B07WQVVHXW,26111700,Amazon.com,,new,Highdas,,$0.00 ,$9.99 ,1,,,2/3/2020,Shipped,UPS(1Z6A373R0301470239),$9.99 ,$0.00 ,$9.99 ,,,,USD,
2/3/2020,114-3230389-9828201,"KTRIO Large Gaming Mouse Pad with Stitched Edges, Extended Mousepad with Superior Micro-Weave Cloth, Non-Slip Base, Water Resist Keyboard Pad, Desk Mat for Gamer, Office & Home, 31.5 x 11.8 in, Black",MOUSE_PAD,B0788LMLZL,43211802,Amazon.com,,new,Ktrio.LLC,,$17.99 ,$12.99 ,1,,,2/3/2020,Shipped,UPS(1Z6A373R0301470239),$12.99 ,$0.00 ,$12.99 ,,,,USD,
2/6/2020,114-0323340-1545008,"Nakii Water Filter Pitcher - Long Lasting 150 Gallons, Supreme Fast Filtration and Purification Technology, Removes Chlorine, Metals & Fluoride for Clean Tasting Drinking Water, WQA Certified,",WATER_PURIFICATION_UNIT,B01M35N6CZ,52152001,Amazon.com,,new,Saving's collection,,$29.99 ,$22.49 ,1,,,2/6/2020,Shipped,AMZN_US(TBA833250306000),$22.49 ,$0.00 ,$22.49 ,,,,USD,
2/6/2020,114-7376049-6102618,"LIANYU 20 Piece Silverware Flatware Cutlery Set, Stainless Steel Utensils Service for 4, Include Knife Fork Spoon, Mirror Polished, Dishwasher Safe",FLATWARE,B06XK6PXX8,52151709,Amazon.com,,new,LIANYU,,$19.99 ,$17.99 ,1,,,2/6/2020,Shipped,UPS(1Z973Y6F0370461879),$17.99 ,$0.00 ,$17.99 ,,,,USD,
2/7/2020,113-4216702-5593834,Suavecito Pomade Original Hold - 4 oz,HAIR_STYLING_AGENT,B0195POX8K,53131602,Amazon.com,,new,Quiverr,,$0.00 ,$11.45 ,1,,,2/7/2020,Shipped,AMZN_US(TBA841595161000),$11.45 ,$0.48 ,$11.93 ,,,,USD,
2/8/2020,114-9780822-2085056,"NUBWO Gaming headsets PS4 N7 Stereo Xbox one Headset Wired PC Gaming Headphones with Noise Canceling Mic , Over Ear Gaming Headphones for PC/MAC/PS4/PS5/Switch/Xbox one (Adapter Not Included)",HEADPHONES,B07KXMMXKP,43191609,Amazon.com,,new,WYTechnology,,$59.99 ,$24.99 ,1,,,2/9/2020,Shipped,AMZN_US(TBA849028114000),$24.99 ,$0.00 ,$24.99 ,,,,USD,
2/25/2020,113-9674934-0642616,Logitech G633/G933 Earpads,HEADPHONE_EARPAD,B01960J1YU,43191600,Amazon.com,,new,A Reselling Company,,$19.99 ,$13.42 ,1,,,2/25/2020,Shipped,AMZN_US(TBA966536815000),$13.42 ,$0.00 ,$13.42 ,,,,USD,
2/26/2020,114-1438201-4869803,"Zinus Abel 14 Inch Metal Platform Bed Frame / Mattress Foundation / No Box Spring Needed / Steel Slat Support / Easy Quick Lock Assembly, Queen",BED_FRAME,B074QWX9V9,56101500,Amazon.com,,used mint,Amazon Warehouse,,$0.00 ,$69.34 ,1,,,2/26/2020,Shipped,USPS(9361289680090820954102),$69.34 ,$5.79 ,$75.13 ,,,,USD,
3/10/2020,114-3675530-9836201,400 Thread Count Cotton - Queen Size Sheet Set - 100% Cotton Sheets - 400-Thread-Count - Sateen Cotton - Deep Pocket Cotton Bed Sheets - Silky & Soft Cotton - Hotel Quality Cotton Sheet for Queen beds,FLAT_SHEET,B07N4D1H4Y,52121500,Amazon.com,,new,CGK Unlimited,,$0.00 ,$54.99 ,1,,,3/11/2020,Shipped,AMZN_US(TBA065478049000),$54.99 ,$0.00 ,$54.99 ,,,,USD,
3/15/2020,114-4362793-3484246,NIVEA Men Maximum Hydration Moisturizing Face Wash - Helps Prevent Dry Tight Skin - 5 fl. oz. Tube,SKIN_CLEANING_AGENT,B005OKYNW2,53131613,Amazon.com,,new,Amazon.com,,$24.20 ,$4.58 ,1,,,3/15/2020,Shipped,AMZN_US(TBA097373177000),$4.58 ,$0.38 ,$4.96 ,,,,USD,
3/15/2020,114-0774135-7616258,AMERICAN CREW Daily Conditioner,CONDITIONER,B002F34YG6,53131602,Amazon.com,,new,Amazon.com,,$23.95 ,$11.06 ,1,,,3/15/2020,Shipped,AMZN_US(TBA097373177000),$11.06 ,$0.92 ,$11.98 ,,,,USD,
3/30/2020,113-9165228-7661844,"Donner Drum Practice Pad, 12 Inch Double Sided Silent Drum Pad With Drumsticks, Black",INSTRUMENT_PARTS_AND_ACCESSORIES,B07W6P9H7X,60131500,Amazon.com,,new,DonnerDirect,,$0.00 ,$19.99 ,1,,,4/18/2020,Shipped,USPS(9361289680090849341259),$19.99 ,$0.00 ,$19.99 ,,,,USD,
4/5/2020,114-4390813-6102647,,,B07YKJG437,,Amazon.com,,new,Amazon Warehouse,,$0.00 ,$13.68 ,1,,,4/22/2020,Shipped,AMZN_US(TBA014605604201),$13.68 ,$1.14 ,$14.82 ,,,,USD,
4/14/2020,114-5475827-6957044,NZXT H510i - CA-H510i-B1 - Compact ATX Mid-Tower PC Gaming Case - Front I/O USB Type-C Port - Vertical GPU Mount - Tempered Glass Side Panel - Integrated RGB Lighting - Black,COMPUTER_CHASSIS,B07TC73F72,43201600,Amazon.com,,new,Amazon.com,,$99.99 ,$89.99 ,1,,,4/14/2020,Shipped,AMZN_US(TBA009320127801),$89.99 ,$7.51 ,$97.50 ,,,,USD,
4/17/2020,113-5514097-1121842,Fender 351 Premium Celluloid Guitar Picks (12-Pack) ,INSTRUMENT_PARTS_AND_ACCESSORIES,B00B5GJKCC,60131500,Amazon.com,,new,Amazon.com,,$5.99 ,$3.89 ,1,,,4/19/2020,Shipped,AMZN_US(TBA012606576401),$3.89 ,$0.32 ,$4.21 ,,,,USD,
4/18/2020,114-8258075-9044243,"Galaxy Tab S4 10.5 Case, Poetic Smart Cover Case w/Flexible Soft Clear TPU Back, Slim-Fit Trifold Stand Folio Front, Auto Wake/Sleep, Lumos X Series, 2018 Model SM-T830/T835/T837, Black",PORTABLE_ELECTRONIC_DEVICE_COVER,B07G8W5X46,43211620,Amazon.com,,new,Tech Warehouse Inc,,$0.00 ,$7.95 ,1,,,4/19/2020,Shipped,DHL Global Mail(9370369903504745659301),$7.95 ,$0.00 ,$7.95 ,,,,USD,
6/9/2020,112-9261946-3100258,"Redragon K552 Mechanical Gaming Keyboard, RGB Rainbow Backlit, 87 Keys, Tenkeyless, Compact Steel Construction with Cherry MX Blue Switches for Windows PC Gamer (Black)",KEYBOARDS,B01LZN7MLE,43211706,Amazon.com,,new,ChallengerUSA,,$0.00 ,$38.99 ,1,,,6/10/2020,Shipped,AMZN_US(TBA058229099301),$38.99 ,$0.00 ,$38.99 ,,,,USD,
7/24/2020,114-7667768-1716243,"NATIONAL GEOGRAPHIC Mega Gemstone Dig Kit – Dig Up 15 Real Gems, STEM Science & Educational Toys make Great Kids Activities",SCIENCE_FUNDAMENTALS_KIT,B0160JBGRA,60141000,Amazon.com,,new,Amazon.com,,$19.99 ,$15.99 ,1,,,7/24/2020,Shipped,AMZN_US(TBA099301220501),$15.99 ,$1.34 ,$17.33 ,,,,USD,
8/23/2020,112-6506562-9995468,Amazon.com eGift Card,GIFT_CARD,B07TMNGSN4,64151505,Amazon.com,,new,Amazon.com,,$50.00 ,$50.00 ,1,,,8/23/2020,Shipped,,$50.00 ,$0.00 ,$50.00 ,,,,USD,
8/23/2020,112-6789625-7353010,Amazon.com eGift Card,GIFT_CARD,B07TMNGSN4,64151505,Amazon.com,,new,Amazon.com,,$50.00 ,$50.00 ,1,,,8/23/2020,Shipped,,$50.00 ,$0.00 ,$50.00 ,,,,USD,
